temperature,time
40.0,1.0
40.125,2.0
40.25,3.0
40.312,4.0
40.437,5.0
40.5,6.0
40.562,7.0
40.687,8.0
40.75,9.0
40.875,10.0
40.937,11.0
41.062,12.0
41.187,13.0
41.312,14.0
41.437,15.0
41.562,16.0
41.687,17.0
41.875,18.0
42.062,19.0
42.187,20.0
42.187,21.0
42.562,22.0
42.75,23.0
42.75,24.0
43.0,25.0
43.187,26.0
43.375,27.0
43.5,28.0
43.625,29.0
43.812,30.0
43.937,31.0
44.062,32.0
44.187,33.0
44.375,34.0
44.5,35.0
44.687,36.0
44.812,37.0
45.0,38.0
45.187,39.0
45.375,40.0
45.625,41.0
45.75,42.0
46.0,43.0
46.125,44.0
46.312,45.0
46.5,46.0
46.687,47.0
46.687,48.0
47.062,49.0
47.187,50.0
47.375,51.0
47.5,52.0
47.687,53.0
47.75,54.0
47.937,55.0
48.062,56.0
48.187,57.0
48.312,58.0
48.5,59.0
48.625,60.0
48.75,61.0
48.937,62.0
49.062,63.0
49.25,64.0
49.437,65.0
49.625,66.0
49.812,67.0
50.0,68.0
50.125,69.0
50.375,70.0
50.562,71.0
50.75,72.0
50.875,73.0
51.062,74.0
51.25,75.0
51.375,76.0
51.5,77.0
51.687,78.0
51.812,79.0
51.937,80.0
52.062,81.0
52.25,82.0
52.437,83.0
52.625,84.0
52.812,85.0
52.937,86.0
53.125,87.0
53.312,88.0
53.5,89.0
53.687,90.0
53.875,91.0
54.0,92.0
54.187,93.0
54.375,94.0
54.437,95.0
54.562,96.0
54.687,97.0
54.812,98.0
54.937,99.0
55.062,100.0
55.187,101.0
55.375,102.0
55.5,103.0
55.687,104.0
55.812,105.0
56.0,106.0
56.187,107.0
56.375,108.0
56.5,109.0
56.687,110.0
56.875,111.0
57.0,112.0
57.187,113.0
57.312,114.0
57.5,115.0
57.625,116.0
57.812,117.0
58.0,118.0
58.187,119.0
58.312,120.0
58.5,121.0
58.625,122.0
58.75,123.0
58.875,124.0
59.062,125.0
59.187,126.0
59.375,127.0
59.562,128.0
59.75,129.0
59.875,130.0
60.062,131.0
60.187,132.0
60.375,133.0
60.562,134.0
60.75,135.0
60.875,136.0
61.062,137.0
61.187,138.0
61.437,139.0
61.5,140.0
61.687,141.0
61.812,142.0
62.0,143.0
62.125,144.0
62.25,145.0
62.437,146.0
62.625,147.0
62.75,148.0
62.937,149.0
63.062,150.0
63.25,151.0
63.437,152.0
63.687,153.0
63.875,154.0
64.125,155.0
64.437,156.0
64.687,157.0
65.0,158.0
65.25,159.0
65.437,160.0
65.562,161.0
65.75,162.0
65.937,163.0
